2025-08-01 22:05:08,776 | DEBUG    | urllib3.connectionpool | _new_conn       | Starting new HTTP connection (1): localhost:11434
2025-08-01 22:05:10,879 | DEBUG    | urllib3.connectionpool | _make_request   | http://localhost:11434 "GET /api/tags HTTP/1.1" 200 664
2025-08-01 22:05:10,884 | DEBUG    | urllib3.connectionpool | _make_request   | http://localhost:11434 "GET /api/tags HTTP/1.1" 200 664
2025-08-01 22:05:19,806 | DEBUG    | urllib3.connectionpool | _make_request   | http://localhost:11434 "POST /api/generate HTTP/1.1" 200 464
2025-08-01 22:05:20,056 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'IHDR' 16 13
2025-08-01 22:05:20,057 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'sRGB' 41 1
2025-08-01 22:05:20,058 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'gAMA' 54 4
2025-08-01 22:05:20,058 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'pHYs' 70 9
2025-08-01 22:05:20,058 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'iTXt' 91 717
2025-08-01 22:05:20,059 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'tEXt' 820 33
2025-08-01 22:05:20,059 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'IDAT' 865 64671
2025-08-01 22:05:20,146 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'IHDR' 16 13
2025-08-01 22:05:20,147 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'gAMA' 41 4
2025-08-01 22:05:20,147 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'pHYs' 57 9
2025-08-01 22:05:20,147 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'iTXt' 78 601
2025-08-01 22:05:20,148 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'tEXt' 691 33
2025-08-01 22:05:20,148 | DEBUG    | PIL.PngImagePlugin   | call            | STREAM b'IDAT' 736 64800
